"fecha","variable","valor usd oficial","porcentaje","total"
"2023-11-29","EG DEUDAS CLIENTES","56867.3","5.5522","1024230"
"2023-11-29","EG SUELDOS",NULL,"0","1024230"
"2023-11-29","ITEC DEUDAS CLIENTES","56867.3","3.30167","1722380"
"2023-11-29","ITEC SUELDOS","0","0","1722380"
"2023-11-29","ITEC SERVICIOS","0","0","1722380"
"2023-11-29","EG VENTAS","195951","19.1315","1024230"
"2023-11-29","EG CAJA","4723.81","0.461206","1024230"
"2023-11-29","EG PASIVOS","96085","9.38119","1024230"
"2023-11-29","ITEC GASTOS","0","0","1722380"
"2023-11-29","EG SERVICIOS",NULL,"0","1024230"
"2023-11-29","ITEC VENTAS","8383.59","0.486744","1722380"
"2023-11-29","ITEC GASTOS INFRAESTRUCTURA","0","0","1722380"
"2023-11-29","ITEC CAJA USD","33090","1.92118","1722380"
"2023-11-29","ITEC IMPUESTOS","0","0","1722380"
"2023-11-29","ITEC ACTIVOS","1781130","103.411","1722380"
"2023-11-29","EG STOCK","1028750","100.441","1024230"
"2023-11-29","EG GASTOS INFRAESTRUCTURA","0","0","1024230"
"2023-11-29","EG CUENTAS","134938","13.1746","1024230"
"2023-11-29","EG PEDIDOS PENDIENTES","0","0","1024230"
"2023-11-29","ITEC STOCK","1733160","100.626","1722380"
"2023-11-29","EG BANCO FUTURO","29971","2.9262","1024230"
"2023-11-29","EG TOTAL","1024230","100","1024230"
"2023-11-29","ITEC PEDIDOS PENDIENTES","0","0","1722380"
"2023-11-29","ITEC PASIVOS","58755.4","3.41129","1722380"
"2023-11-29","ITEC CUENTAS","81062.8","4.70644","1722380"
"2023-11-29","EG COMPRAS","117546","11.4765","1024230"
"2023-11-29","EG CAJA USD","132333","12.9202","1024230"
"2023-11-29","EG IMPUESTOS",NULL,"0","1024230"
"2023-11-29","EG GASTOS",NULL,"0","1024230"
"2023-11-29","ITEC BANCO FUTURO","-13618.3","-0.790668","1722380"
"2023-11-29","ITEC CAJA","4723.81","0.274261","1722380"
"2023-11-29","ITEC TOTAL","1722380","100","1722380"
"2023-11-29","EG DEUDAS PROVEEDORES","88957.3","8.68529","1024230"
"2023-11-29","EG DEUDAS FISCALES","7127.73","0.695911","1024230"
"2023-11-29","ITEC DEUDAS PROVEEDORES","0","0","1722380"
"2023-11-29","ITEC DEUDAS FISCALES","58755.4","3.41129","1722380"
"2023-11-29","EG ACTIVOS","1120310","109.381","1024230"
"2023-11-29","ITEC COMPRAS","51219.2","2.97375","1722380"
"2023-12-30","EG DEUDAS PROVEEDORES","28534.3","2.07492","1375200"
"2023-12-30","EG DEUDAS FISCALES","0","0","1375200"
"2023-12-30","EG SUELDOS",NULL,"0","1375200"
"2023-12-30","EG GASTOS",NULL,"0","1375200"
"2023-12-30","EG TOTAL","1375200","100","1375200"
"2023-12-30","ITEC COMPRAS","32055.8","3.40486","941471"
"2023-12-30","ITEC DEUDAS CLIENTES","15627.5","1.6599","941471"
"2023-12-30","ITEC TOTAL","941471","100","941471"
"2023-12-30","ITEC GASTOS INFRAESTRUCTURA","0","0","941471"
"2023-12-30","EG VENTAS","102097","7.42416","1375200"
"2023-12-30","EG STOCK","1298890","94.451","1375200"
"2023-12-30","EG GASTOS INFRAESTRUCTURA","0","0","1375200"
"2023-12-30","ITEC IMPUESTOS","0","0","941471"
"2023-12-30","EG CAJA USD","36544","2.65736","1375200"
"2023-12-30","EG SERVICIOS",NULL,"0","1375200"
"2023-12-30","ITEC STOCK","928332","98.6044","941471"
"2023-12-30","ITEC BANCO FUTURO","-3527.68","-0.374699","941471"
"2023-12-30","ITEC CAJA","3198.49","0.339733","941471"
"2023-12-30","EG PEDIDOS PENDIENTES","0","0","1375200"
"2023-12-30","EG ACTIVOS","1403740","102.075","1375200"
"2023-12-30","EG PASIVOS","28534.3","2.07492","1375200"
"2023-12-30","EG DEUDAS CLIENTES","39319.8","2.85921","1375200"
"2023-12-30","EG COMPRAS","61337.9","4.46029","1375200"
"2023-12-30","ITEC DEUDAS PROVEEDORES","9080.71","0.964524","941471"
"2023-12-30","EG IMPUESTOS",NULL,"0","1375200"
"2023-12-30","ITEC ACTIVOS","952766","101.2","941471"
"2023-12-30","ITEC CUENTAS","15353.6","1.63081","941471"
"2023-12-30","EG CAJA","3318.71","0.241326","1375200"
"2023-12-30","EG BANCO FUTURO","25662.7","1.86611","1375200"
"2023-12-30","ITEC PEDIDOS PENDIENTES","0","0","941471"
"2023-12-30","ITEC CAJA USD","9136","0.970396","941471"
"2023-12-30","ITEC PASIVOS","11295.2","1.19974","941471"
"2023-12-30","EG CUENTAS","76310.9","5.54908","1375200"
"2023-12-30","ITEC DEUDAS FISCALES","2214.53","0.23522","941471"
"2023-12-30","ITEC SUELDOS","0","0","941471"
"2023-12-30","ITEC SERVICIOS","0","0","941471"
"2023-12-30","ITEC GASTOS","0","0","941471"
"2023-12-30","ITEC VENTAS","49641.3","5.27274","941471"
"2024-01-30","ITEC SUELDOS","0","0","958809"
"2024-01-30","ITEC ACTIVOS","973565","101.539","958809"
"2024-01-30","EG CUENTAS","43219.8","3.9513","1093810"
"2024-01-30","EG PASIVOS","78185.5","7.148","1093810"
"2024-01-30","ITEC IMPUESTOS","0","0","958809"
"2024-01-30","ITEC SERVICIOS","0","0","958809"
"2024-01-30","ITEC GASTOS","0","0","958809"
"2024-01-30","ITEC TOTAL","958809","100","958809"
"2024-01-30","ITEC CAJA USD","10468.7","1.0918","958809"
"2024-01-30","EG STOCK","1050590","96.0487","1093810"
"2024-01-30","EG BANCO FUTURO","27967.7","2.5569","1093810"
"2024-01-30","EG GASTOS INFRAESTRUCTURA","0","0","1093810"
"2024-01-30","EG DEUDAS FISCALES","0","0","1093810"
"2024-01-30","EG IMPUESTOS","0","0","1093810"
"2024-01-30","EG SERVICIOS","0","0","1093810"
"2024-01-30","ITEC COMPRAS","53924.2","5.6241","958809"
"2024-01-30","ITEC CUENTAS","6978.26","0.7278","958809"
"2024-01-30","ITEC DEUDAS FISCALES","2215.15","0.231","958809"
"2024-01-30","EG PEDIDOS PENDIENTES","0","0","1093810"
"2024-01-30","EG DEUDAS PROVEEDORES","78185.5","7.148","1093810"
"2024-01-30","EG GASTOS","0","0","1093810"
"2024-01-30","ITEC STOCK","951831","99.2722","958809"
"2024-01-30","ITEC DEUDAS CLIENTES","16045","1.6734","958809"
"2024-01-30","ITEC GASTOS INFRAESTRUCTURA","0","0","958809"
"2024-01-30","ITEC BANCO FUTURO","-6448.12","-0.6725","958809"
"2024-01-30","ITEC PASIVOS","14755.7","1.539","958809"
"2024-01-30","EG VENTAS","145275","13.2816","1093810"
"2024-01-30","EG CAJA","612.08","0.056","1093810"
"2024-01-30","EG DEUDAS CLIENTES","50950.7","4.6581","1093810"
"2024-01-30","EG ACTIVOS","1172000","107.148","1093810"
"2024-01-30","EG TOTAL","1093810","100","1093810"
"2024-01-30","ITEC PEDIDOS PENDIENTES","0","0","958809"
"2024-01-30","ITEC DEUDAS PROVEEDORES","14755.7","1.539","958809"
"2024-01-30","EG COMPRAS","170131","15.554","1093810"
"2024-01-30","EG SUELDOS","0","0","1093810"
"2024-01-30","ITEC CAJA","1668.38","0.174","958809"
"2024-01-30","EG CAJA USD","41874.8","3.8283","1093810"
"2024-01-30","ITEC VENTAS","62794","6.5492","958809"
"2024-01-31","EG SUELDOS","2072.04","0.193331","1071760"
"2024-01-31","ITEC CUENTAS","1968.63","0.206399","953800"
"2024-01-31","EG DEUDAS CLIENTES","50950.7","4.75393","1071760"
"2024-01-31","ITEC SUELDOS","0","0","953800"
"2024-01-31","EG CUENTAS","21165.5","1.97484","1071760"
"2024-01-31","ITEC DEUDAS CLIENTES","16045","1.68222","953800"
"2024-01-31","ITEC GASTOS INFRAESTRUCTURA","2768.63","0.290274","953800"
"2024-01-31","ITEC PASIVOS","19765.3","2.07227","953800"
"2024-01-31","EG CAJA USD","41874.8","3.90711","1071760"
"2024-01-31","ITEC VENTAS","62794","6.58356","953800"
"2024-01-31","ITEC BANCO FUTURO","-6448.12","-0.676045","953800"
"2024-01-31","ITEC CAJA","1668.38","0.174919","953800"
"2024-01-31","EG VENTAS","145275","13.5548","1071760"
"2024-01-31","EG GASTOS INFRAESTRUCTURA","12518.9","1.16807","1071760"
"2024-01-31","ITEC DEUDAS FISCALES","2215.15","0.232245","953800"
"2024-01-31","EG BANCO FUTURO","27967.7","2.60951","1071760"
"2024-01-31","EG IMPUESTOS","9535.34","0.88969","1071760"
"2024-01-31","EG ACTIVOS","1172000","109.353","1071760"
"2024-01-31","ITEC STOCK","951831","99.7936","953800"
"2024-01-31","EG PEDIDOS PENDIENTES","0","0","1071760"
"2024-01-31","EG CAJA","612.08","0.0571098","1071760"
"2024-01-31","EG DEUDAS FISCALES","0","0","1071760"
"2024-01-31","EG PASIVOS","100240","9.35284","1071760"
"2024-01-31","ITEC SERVICIOS","528","0.0553575","953800"
"2024-01-31","EG TOTAL","1071760","100","1071760"
"2024-01-31","ITEC DEUDAS PROVEEDORES","14755.7","1.54704","953800"
"2024-01-31","ITEC CAJA USD","10468.7","1.09758","953800"
"2024-01-31","EG COMPRAS","170131","15.874","1071760"
"2024-01-31","EG STOCK","1050590","98.0247","1071760"
"2024-01-31","EG DEUDAS PROVEEDORES","78185.5","7.29506","1071760"
"2024-01-31","EG GASTOS","12518.9","1.16807","1071760"
"2024-01-31","ITEC GASTOS","2769","0.290312","953800"
"2024-01-31","ITEC ACTIVOS","973565","102.072","953800"
"2024-01-31","ITEC TOTAL","953800","100","953800"
"2024-01-31","EG SERVICIOS","911.489","0.085046","1071760"
"2024-01-31","ITEC COMPRAS","53924.2","5.65362","953800"
"2024-01-31","ITEC PEDIDOS PENDIENTES","0","0","953800"
"2024-01-31","ITEC IMPUESTOS","2241","0.234955","953800"
"2024-02-29","EG BANCO FUTURO","-38665.9","-3.3584","1151330"
"2024-02-29","EG SUELDOS","0","0","1151330"
"2024-02-29","ITEC DEUDAS FISCALES","395.55","0.0474","835093"
"2024-02-29","EG CUENTAS","-25166.3","-2.1859","1151330"
"2024-02-29","EG COMPRAS","209393","18.1871","1151330"
"2024-02-29","EG TOTAL","1151330","100","1151330"
"2024-02-29","ITEC CAJA","87.79","0.0105","835093"
"2024-02-29","ITEC SERVICIOS","870","0.1042","835093"
"2024-02-29","ITEC GASTOS","870","0.1042","835093"
"2024-02-29","ITEC BANCO FUTURO","-27256.9","-3.2639","835093"
"2024-02-29","ITEC DEUDAS PROVEEDORES","33721","4.038","835093"
"2024-02-29","ITEC PASIVOS","34591","4.1422","835093"
"2024-02-29","EG CAJA USD","56501.8","4.9075","1151330"
"2024-02-29","ITEC COMPRAS","44246.6","5.2984","835093"
"2024-02-29","ITEC TOTAL","835093","100","835093"
"2024-02-29","EG PASIVOS","145714","12.6561","1151330"
"2024-02-29","ITEC PEDIDOS PENDIENTES","0","0","835093"
"2024-02-29","ITEC GASTOS INFRAESTRUCTURA","870","0.1042","835093"
"2024-02-29","ITEC ACTIVOS","869684","104.142","835093"
"2024-02-29","ITEC VENTAS","23724.2","2.8409","835093"
"2024-02-29","EG PEDIDOS PENDIENTES","38614.1","3.3539","1151330"
"2024-02-29","EG CAJA","1737.5","0.1509","1151330"
"2024-02-29","EG DEUDAS PROVEEDORES","119060","10.3411","1151330"
"2024-02-29","EG DEUDAS FISCALES","3174.24","0.2757","1151330"
"2024-02-29","EG ACTIVOS","1297050","112.657","1151330"
"2024-02-29","EG VENTAS","127569","11.0801","1151330"
"2024-02-29","EG SERVICIOS","894.27","0.0777","1151330"
"2024-02-29","ITEC DEUDAS CLIENTES","5878.41","0.7039","835093"
"2024-02-29","ITEC IMPUESTOS","0","0","835093"
"2024-02-29","ITEC CUENTAS","-41756.3","-5.0002","835093"
"2024-02-29","ITEC STOCK","876849","105","835093"
"2024-02-29","ITEC CAJA USD","14125.4","1.6915","835093"
"2024-02-29","EG STOCK","1176500","102.186","1151330"
"2024-02-29","EG DEUDAS CLIENTES","62360.7","5.4164","1151330"
"2024-02-29","EG GASTOS INFRAESTRUCTURA","13774.4","1.1964","1151330"
"2024-02-29","EG IMPUESTOS","12880.1","1.1187","1151330"
"2024-02-29","EG GASTOS","13774.4","1.1964","1151330"
"2024-02-29","ITEC SUELDOS","0","0","835093"
"2024-03-31","ITEC SERVICIOS","0","0","816894"
"2024-03-31","EG CUENTAS","91451.5","6.8631","1332510"
"2024-03-31","EG GASTOS","0","0","1332510"
"2024-03-31","ITEC DEUDAS PROVEEDORES","31885.7","3.9033","816894"
"2024-03-31","EG TOTAL","1332510","100","1332510"
"2024-03-31","ITEC STOCK","842864","103.179","816894"
"2024-03-31","ITEC PEDIDOS PENDIENTES","0","0","816894"
"2024-03-31","EG PEDIDOS PENDIENTES","40228.1","3.019","1332510"
"2024-03-31","EG CAJA USD","42571","3.1948","1332510"
"2024-03-31","ITEC TOTAL","816894","100","816894"
"2024-03-31","ITEC IMPUESTOS","0","0","816894"
"2024-03-31","ITEC ACTIVOS","848780","103.903","816894"
"2024-03-31","EG DEUDAS PROVEEDORES","65283.4","4.8993","1332510"
"2024-03-31","ITEC DEUDAS CLIENTES","4844.11","0.593","816894"
"2024-03-31","ITEC SUELDOS","0","0","816894"
"2024-03-31","ITEC GASTOS","0","0","816894"
"2024-03-31","ITEC CUENTAS","-25970.2","-3.1791","816894"
"2024-03-31","EG DEUDAS CLIENTES","86152.9","6.4655","1332510"
"2024-03-31","EG VENTAS","167654","12.5818","1332510"
"2024-03-31","ITEC CAJA USD","10642.8","1.3028","816894"
"2024-03-31","EG BANCO FUTURO","-12401.6","-0.9307","1332510"
"2024-03-31","EG GASTOS INFRAESTRUCTURA","0","0","1332510"
"2024-03-31","EG IMPUESTOS","0","0","1332510"
"2024-03-31","EG ACTIVOS","1397790","104.899","1332510"
"2024-03-31","ITEC GASTOS INFRAESTRUCTURA","0","0","816894"
"2024-03-31","EG SERVICIOS","0","0","1332510"
"2024-03-31","ITEC COMPRAS","39368.4","4.8193","816894"
"2024-03-31","ITEC VENTAS","48440","5.9298","816894"
"2024-03-31","ITEC BANCO FUTURO","-9599.78","-1.1752","816894"
"2024-03-31","ITEC DEUDAS FISCALES","4684.84","0.5735","816894"
"2024-03-31","EG CAJA","184.55","0.0138","1332510"
"2024-03-31","EG DEUDAS FISCALES","2889.36","0.2168","1332510"
"2024-03-31","EG STOCK","1241060","93.137","1332510"
"2024-03-31","EG SUELDOS","0","0","1332510"
"2024-03-31","EG PASIVOS","65283.4","4.8993","1332510"
"2024-03-31","ITEC CAJA","28.4","0.0035","816894"
"2024-03-31","ITEC PASIVOS","31885.7","3.9033","816894"
"2024-03-31","EG COMPRAS","52850.1","3.9662","1332510"
"2024-04-30","EG CAJA","282.123","0.0203402","1387020"
"2024-04-30","EG TOTAL","1387020","100","1387020"
"2024-04-30","ITEC IMPUESTOS","0","0","782007"
"2024-04-30","ITEC PEDIDOS PENDIENTES","0","0","782007"
"2024-04-30","EG BANCO FUTURO","-4681.56","-0.337527","1387020"
"2024-04-30","EG DEUDAS FISCALES","2665.15","0.192149","1387020"
"2024-04-30","EG CAJA USD","41891.9","3.02028","1387020"
"2024-04-30","EG GASTOS","0","0","1387020"
"2024-04-30","ITEC VENTAS","45635.5","5.83569","782007"
"2024-04-30","ITEC STOCK","829952","106.131","782007"
"2024-04-30","ITEC DEUDAS FISCALES","2775.21","0.354883","782007"
"2024-04-30","ITEC GASTOS","0","0","782007"
"2024-04-30","ITEC CUENTAS","-47946.1","-6.13116","782007"
"2024-04-30","EG DEUDAS PROVEEDORES","64692.8","4.66416","1387020"
"2024-04-30","ITEC GASTOS INFRAESTRUCTURA","0","0","782007"
"2024-04-30","EG VENTAS","197429","14.234","1387020"
"2024-04-30","EG GASTOS INFRAESTRUCTURA","0","0","1387020"
"2024-04-30","EG SUELDOS","0","0","1387020"
